Date,ShareLink,ShareCommentary,Visibility,MediaUrl
2024-11-11 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7479989626547815554/,"Most Shopify brands lose 40% of their revenue in the first 90 days after acquisition.

Not because their product is bad.
Not because their price is wrong.

Because their post-purchase flow is broken.

Here's the 5-email sequence that changed everything for our clients:",PUBLIC,
2025-03-07 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7434029046666722829/,"Unpopular opinion: email is still the highest-ROI channel for DTC brands.

I've seen brands doing $50M+ in revenue where 45% comes from email.

The brands that dismiss email are leaving millions on the table.

Here's what a proper email program actually looks like:",PUBLIC,
2025-10-20 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7979223424644683598/,"I spent 3 years trying to scale Shopify brands with paid ads.

Then I discovered retention marketing.

Here's what changed:",CONNECTIONS,
2025-09-05 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7815780512722834076/,"Our client went from 18% to 34% repeat purchase rate in 90 days.

We didn't change their product.
We didn't change their price.
We didn't change their ads.

We changed their post-purchase experience.

Thread 🧵",PUBLIC,
2025-11-24 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7066435876618271313/,"The Shopify brands killing it in 2026 all have one thing in common:

They treat their customer list like an asset, not a channel.

Here's what that looks like in practice:",CONNECTIONS,
2024-09-19 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7480200875680257527/,"SMS is not just a broadcast channel.

The brands using it correctly are building real conversations.

Here's what a 8-figure brand's SMS program actually looks like:",CONNECTIONS,
2024-09-21 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7279996805254442588/,"Most agencies will tell you to scale your ad spend.

We tell our clients to fix their funnel first.

Here's why that's always the right call:",PUBLIC,
2025-07-24 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7745601088438934916/,"Klaviyo flow audit thread:

I just audited 50 Shopify brand flows.

Here's what almost every brand is missing:

1/ Welcome series: 95% send too many emails too fast
2/ Abandoned cart: 80% have no SMS backup
3/ Win-back: 70% wait too long to start",PUBLIC,
2026-01-18 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7427823225001327552/,"We onboarded a $3M Shopify brand last month.

First thing I noticed: 0 automated flows beyond welcome and abandoned cart.

First 30 days: built 12 flows.
Result: 31% lift in email revenue.",CONNECTIONS,
2026-01-01 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7309515134780408110/,"The 3 metrics that actually predict Shopify growth:

1. Repeat purchase rate (not AOV)
2. Email-attributed revenue % (not open rate)
3. LTV:CAC ratio by channel

Most brands obsess over the wrong numbers.",PUBLIC,
2025-03-12 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7083914623809853218/,"Just wrapped up Q1 with our agency.

Average email revenue lift across clients: 47%.

The one thing every winning brand had in common? Consistent testing culture.",PUBLIC,
2025-09-19 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7240832716859872296/,"Hot take: most Shopify brands don't have a traffic problem.

They have a conversion problem.

And 90% of conversion problems are fixable with better email and SMS flows.",PUBLIC,
2025-04-21 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7244197731548850431/,"What a $10M DTC brand's tech stack actually looks like:

• Shopify Plus
• Klaviyo
• Postscript
• Gorgias
• Recharge (if sub)
• Triple Whale
• Okendo or Yotpo

Simple wins. Every time.",PUBLIC,
2025-09-11 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7552158177020072388/,"We've helped 40+ Shopify brands scale their email programs.

The #1 mistake we see:

Brands that only email their engaged list and wonder why revenue is flat.",PUBLIC,
2025-07-16 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7636504091186744108/,"AI won't replace email marketers.

But email marketers who use AI will replace those who don't.

Here's how we're using it at ShopBoost:",PUBLIC,
2025-04-23 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7537550184187628616/,"Excited to share that ShopBoost crossed a major milestone this quarter.

Grateful for an incredible team and even better clients. This is just the beginning. 🚀",PUBLIC,
2024-09-15 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7301560027522843469/,"The best Shopify brands I've worked with share one habit:

They talk to their customers every week.

Not through surveys. Through replies to automated flows.",PUBLIC,
2025-03-09 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7113687545808423674/,"Retention is the new acquisition.

Here's why 2026 is the year DTC brands finally stop obsessing over CPAs and start building real customer relationships:",CONNECTIONS,
2024-11-14 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7234190053588439131/,"Zero-party data is the future of personalization for Shopify brands.

Here's how to collect it without annoying your customers:",PUBLIC,
2025-02-20 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7052706320015905777/,"The post-purchase window is the most underutilized 72 hours in ecommerce.

Most brands send one shipping notification and call it a day.

Here's what to do instead:",PUBLIC,
